WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.71169 52.03336)",52.03336,4.71169,Plaswijckweg, 2804 LS, Gouda,https://waarneming.nl/observation/337664531/
"POINT (4.4007 51.92428)",51.92428,4.40070,Johan Braakensiekstraat, 3119 NL, Schiedam,https://waarneming.nl/observation/345832820/
"POINT (4.50901 52.06553)",52.06553,4.50901,Vuurdoornpark, 2724 HG, Zoetermeer,https://waarneming.nl/observation/347449123/
"POINT (4.47877 52.03894)",52.03894,4.47877,Camee, 2719 RM, Zoetermeer,https://waarneming.nl/observation/347708135/
"POINT (4.25975 51.92606)",51.92606,4.25975,Touwbaan, 3142 BV, Maassluis,https://waarneming.nl/observation/354125584/
"POINT (4.31395 51.90764)",51.90764,4.31395,van Maerlantlaan, 3132 PP, Vlaardingen,https://waarneming.nl/observation/359202491/
"POINT (4.34185 52.09039)",52.09039,4.34185,Cornelis van der Lijnstraat, 2593 NC, Den Haag,https://waarneming.nl/observation/368044200/
"POINT (4.39975 51.92244)",51.92244,4.39975,Jan van Zutphenstraat, 3119 BP, Schiedam,https://waarneming.nl/observation/367219903/
"POINT (4.32736 52.08623)",52.08623,4.32736,Zuiderpad, 2594 NC, Den Haag,https://waarneming.nl/observation/368228411/
"POINT (4.51572 52.03969)",52.03969,4.51572,Lansingpad, 2718 RH, Zoetermeer,https://waarneming.nl/observation/367444288/
"POINT (4.3352 51.91529)",51.91529,4.33520,Engelsche Boomgaert, 3131 NN, Vlaardingen,https://waarneming.nl/observation/367506636/
"POINT (4.38621 51.91145)",51.91145,4.38621,Vondellaan, 3117 PS, Schiedam,https://waarneming.nl/observation/368162509/
"POINT (4.24473 51.92279)",51.92279,4.24473,P.J. Troelstraweg, 3144 CW, Maassluis,https://waarneming.nl/observation/368192636/
"POINT (4.25402 51.921)",51.92100,4.25402,Zuiddijk, 3143 AS, Maassluis,https://waarneming.nl/observation/368297078/
"POINT (4.31325 52.09809)",52.09809,4.31325,Van Nijenrodestraat, 2597 RJ, Den Haag,https://waarneming.nl/observation/368781486/
"POINT (4.3893 51.9282)",51.92820,4.38930,Ganzenpad, 3121 KK, Schiedam,https://waarneming.nl/observation/369165841/
"POINT (4.36487 52.12677)",52.12677,4.36487,Kievietslaan, 2243 GB, Wassenaar,https://waarneming.nl/observation/369460887/
"POINT (4.26711 51.91212)",51.91212,4.26711,Vlaardingsedijk, 3143 LN, Maassluis,https://waarneming.nl/observation/369622524/
"POINT (4.49593 52.25508)",52.25508,4.49593,Sperwerkroft, 2211 LN, Noordwijkerhout,https://waarneming.nl/observation/370550307/
"POINT (4.49312 52.26975)",52.26975,4.49312,'t Hoogtlaan, 2212 TR, Noordwijkerhout,https://waarneming.nl/observation/370550515/
"POINT (4.21231 52.04625)",52.04625,4.21231,Max Euweweg, 2553 PT, Den Haag,https://waarneming.nl/observation/370724418/
"POINT (4.29885 51.90269)",51.90269,4.29885,Maassluissedijk, 3133 KA, Vlaardingen,https://waarneming.nl/observation/370852087/
"POINT (4.39835 51.90484)",51.90484,4.39835,Westfrankelandsedijk, 3114 VX, Schiedam,https://waarneming.nl/observation/370897503/
"POINT (4.40123 51.91321)",51.91321,4.40123,Gerrit Verboonstraat, 3111 AA, Schiedam,https://waarneming.nl/observation/371162316/
"POINT (4.40258 51.9134)",51.91340,4.40258,Tuinlaan, 3111 AX, Schiedam,https://waarneming.nl/observation/371162323/
"POINT (4.35228 51.91527)",51.91527,4.35228,Anthony Knottenbeltsingel, 3135 HL, Vlaardingen,https://waarneming.nl/observation/371626023/
"POINT (4.4895 52.26172)",52.26172,4.48950,Victoriberg, 2211 DH, Noordwijkerhout,https://waarneming.nl/observation/371626849/
"POINT (4.2974 52.0449)",52.04490,4.29740,Guntersteinweg, 2532 VZ, Den Haag,https://waarneming.nl/observation/371589597/
"POINT (4.31098 51.91165)",51.91165,4.31098,Buys-Ballotlaan, 3132 SC, Vlaardingen,https://waarneming.nl/observation/371625274/
"POINT (4.46024 52.05519)",52.05519,4.46024,Herikerberg, 2716 EV, Zoetermeer,https://waarneming.nl/observation/371757970/
"POINT (4.25735 51.9248)",51.92480,4.25735,Glanzerij, 3142 BC, Maassluis,https://waarneming.nl/observation/372460226/
"POINT (4.46619 52.0542)",52.05420,4.46619,Fivelingo, 2716 BB, Zoetermeer,https://waarneming.nl/observation/372722091/
"POINT (4.70467 52.0355)",52.03550,4.70467,Oosthoef, 2804 ST, Gouda,https://waarneming.nl/observation/372874880/
"POINT (4.45251 52.06585)",52.06585,4.45251,Buytenparklaan, 2716 NP, Zoetermeer,https://waarneming.nl/observation/373745527/
"POINT (4.36685 52.09821)",52.09821,4.36685,Isabellaland, 2591 SX, Den Haag,https://waarneming.nl/observation/373847834/
"POINT (4.24175 52.07761)",52.07761,4.24175,Laan van Poot, 2566 DL, Den Haag,https://waarneming.nl/observation/373943899/
"POINT (4.23303 52.03974)",52.03974,4.23303,Thomas Mannsingel, 2553 DA, Den Haag,https://waarneming.nl/observation/374025935/
"POINT (4.69959 52.0224)",52.02240,4.69959,Abel Tasmanlaan, 2803 GL, Gouda,https://waarneming.nl/observation/374201014/
"POINT (4.37826 51.92264)",51.92264,4.37826,Sportpad, 3118 JC, Schiedam,https://waarneming.nl/observation/374404985/
"POINT (4.27756 52.09975)",52.09975,4.27756,Van Dorpstraat, 2584 AH, Den Haag,https://waarneming.nl/observation/374756524/
"POINT (4.23722 52.04652)",52.04652,4.23722,Karperdaal, 2553 PG, Den Haag,https://waarneming.nl/observation/374932826/
"POINT (4.3967 52.14533)",52.14533,4.39670,Van Zuylen van Nijeveltstraat, 2242 LE, Wassenaar,https://waarneming.nl/observation/374932911/
"POINT (4.69845 52.02223)",52.02223,4.69845,Willem Bontekoesingel, 2803 XM, Gouda,https://waarneming.nl/observation/374904967/
"POINT (4.48383 52.25032)",52.25032,4.48383,De Vlashoven, 2211 WL, Noordwijkerhout,https://waarneming.nl/observation/374933409/
"POINT (4.24948 52.08067)",52.08067,4.24948,Laan van Poot, 2566 TE, Den Haag,https://waarneming.nl/observation/375043853/
"POINT (4.70135 52.02653)",52.02653,4.70135,Burgemeester van Reenensingel, 2803 EA, Gouda,https://waarneming.nl/observation/375408500/
"POINT (4.30771 52.09249)",52.09249,4.30771,Balistraat, 2585 XX, Den Haag,https://waarneming.nl/observation/375449076/
"POINT (4.35819 52.11233)",52.11233,4.35819,Groot Hoefijzerlaan, 2244 GG, Wassenaar,https://waarneming.nl/observation/375495717/
"POINT (4.21281 52.03292)",52.03292,4.21281,Madepolderweg, 2553 EG, Den Haag,https://waarneming.nl/observation/375633100/
"POINT (4.37518 51.91767)",51.91767,4.37518,Dijk, 3118 JM, Schiedam,https://waarneming.nl/observation/375802810/
"POINT (4.2649 52.04376)",52.04376,4.26490,Ruimzicht, 2543 RJ, Den Haag,https://waarneming.nl/observation/376390437/
"POINT (4.36294 52.12468)",52.12468,4.36294,Emmalaan, 2243 HC, Wassenaar,https://waarneming.nl/observation/376434736/
"POINT (4.33824 51.93411)",51.93411,4.33824,Bingelkruid, 3137 WE, Vlaardingen,https://waarneming.nl/observation/377601803/
"POINT (4.23208 52.05428)",52.05428,4.23208,Ouverturestraat, 2553 VP, Den Haag,https://waarneming.nl/observation/376494570/
"POINT (4.36568 52.12119)",52.12119,4.36568,Schouwweg, 2243 BP, Wassenaar,https://waarneming.nl/observation/376565754/
"POINT (4.70526 52.02546)",52.02546,4.70526,Heempad, 2804 AC, Gouda,https://waarneming.nl/observation/376563844/
"POINT (4.25396 51.91813)",51.91813,4.25396,Jan van Galenstraat, 3143 KC, Maassluis,https://waarneming.nl/observation/376806777/
"POINT (4.31809 52.09844)",52.09844,4.31809,Van Hogenhoucklaan, 2596 TE, Den Haag,https://waarneming.nl/observation/377077364/
"POINT (4.52046 52.07408)",52.07408,4.52046,Mien Ruyspad, 2728 BR, Zoetermeer,https://waarneming.nl/observation/377076780/
"POINT (4.71212 52.01799)",52.01799,4.71212,Graaf Florisweg, 2805 AL, Gouda,https://waarneming.nl/observation/377168481/
"POINT (4.25004 52.0697)",52.06970,4.25004,Pioenweg, 2565 AX, Den Haag,https://waarneming.nl/observation/377368453/
"POINT (4.71309 52.00407)",52.00407,4.71309,Gouderaksedijk, 2808 ND, Gouda,https://waarneming.nl/observation/377350850/
