WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.78745 50.93567)",50.93567,5.78745,Maastrichterlaan, 6191 RT, Geverik,https://waarneming.nl/observation/336864477/
"POINT (5.81342 51.17313)",51.17313,5.81342,Bosserstraat, 6014 RD, Ittervoort,https://waarneming.nl/observation/339235411/
"POINT (5.96942 50.91131)",50.91131,5.96942,Bergerodeweg, 6414 BG, Heerlen,https://waarneming.nl/observation/337268293/
"POINT (5.97009 51.09011)",51.09011,5.97009,Kerkweg, 6105 CC, Maria Hoop,https://waarneming.nl/observation/337197805/
"POINT (5.78593 51.26893)",51.26893,5.78593,Visdijk, 6034 SZ, Nederweert-Eind,https://waarneming.nl/observation/337430197/
"POINT (5.86043 51.00798)",51.00798,5.86043,Vouerweg, 6136 AM, Sittard,https://waarneming.nl/observation/337459072/
"POINT (5.788 51.26866)",51.26866,5.78800,Visdijk, 6034 SZ, Nederweert-Eind,https://waarneming.nl/observation/338447177/
"POINT (5.98791 50.87322)",50.87322,5.98791,Parmentierstraat, 6417 AX, Heerlen,https://waarneming.nl/observation/338478926/
"POINT (5.95914 50.87739)",50.87739,5.95914,Autosnelweg A79, 6419 SE, Heerlen,https://waarneming.nl/observation/339294408/
"POINT (5.83346 50.97183)",50.97183,5.83346,Rijksweg Noord, 6162 AB, Geleen,https://waarneming.nl/observation/338588054/
"POINT (6.10737 51.52207)",51.52207,6.10737,Bergerhofweg, 5863 AH, Blitterswijck,https://waarneming.nl/observation/338784979/
"POINT (5.85082 50.95548)",50.95548,5.85082,Sweikhuizervoetpad, 6174 RH, Sweikhuizen,https://waarneming.nl/observation/339121128/
"POINT (5.90337 50.92884)",50.92884,5.90337,Tulpstraat, 6361 JD, Vaesrade,https://waarneming.nl/observation/339097977/
"POINT (6.12286 51.31389)",51.31389,6.12286,Pastoor Hermensstraat, 5951 GB, Belfeld,https://waarneming.nl/observation/339558870/
"POINT (6.01182 51.54302)",51.54302,6.01182,Zuiderbergweg, 5807 EM, Oostrum,https://waarneming.nl/observation/340004993/
"POINT (5.99422 50.87092)",50.87092,5.99422,Ruth Firststraat, 6418 PM, Heerlen,https://waarneming.nl/observation/340116927/
"POINT (5.69913 50.85267)",50.85267,5.69913,Franciscus Romanusweg, 6221 AH, Maastricht,https://waarneming.nl/observation/340516308/
"POINT (5.77886 50.90196)",50.90196,5.77886,Klein Berghemmerweg, 6235 AJ, Ulestraten,https://waarneming.nl/observation/378096527/
"POINT (5.88259 51.3111)",51.31110,5.88259,Aan de Heibloem, 6089 NE, Heythuysen,https://waarneming.nl/observation/341886033/
"POINT (5.98912 51.52733)",51.52733,5.98912,D'n Herk, 5803 DM, Venray,https://waarneming.nl/observation/342108693/
"POINT (5.72324 50.87258)",50.87258,5.72324,Mariënwaard, 6222 AM, Maastricht,https://waarneming.nl/observation/342265172/
"POINT (5.81066 51.24619)",51.24619,5.81066,Koeldijk, 6091 PX, Leveroy,https://waarneming.nl/observation/343378860/
"POINT (5.67406 50.82804)",50.82804,5.67406,Mergelweg, 6212 XK, Maastricht,https://waarneming.nl/observation/343198643/
"POINT (5.67857 50.82918)",50.82918,5.67857,Van Schaikweg, 6212 XG, Maastricht,https://waarneming.nl/observation/347331382/
"POINT (5.70871 50.82615)",50.82615,5.70871,Gronsvelderweg, 6229 VN, Maastricht,https://waarneming.nl/observation/343786739/
"POINT (5.78574 50.95405)",50.95405,5.78574,Sanderboutlaan, 6181 DN, Catsop,https://waarneming.nl/observation/343825762/
"POINT (5.73387 50.86201)",50.86201,5.73387,Peppelhoven, 6225 GZ, Maastricht,https://waarneming.nl/observation/343820499/
"POINT (5.82189 50.92724)",50.92724,5.82189,Hubertusstraat, 6191 PC, Genhout,https://waarneming.nl/observation/343977762/
"POINT (5.85774 51.01116)",51.01116,5.85774,Brauningerstraat, 6135 JW, Sittard,https://waarneming.nl/observation/344017880/
"POINT (6.18118 51.36404)",51.36404,6.18118,Jan van Broekhuizenstraat, 5913 RX, Blerick,https://waarneming.nl/observation/344131694/
"POINT (6.11548 51.31042)",51.31042,6.11548,Hamarplein, 5951 CD, Belfeld,https://waarneming.nl/observation/344169704/
"POINT (5.73753 51.25458)",51.25458,5.73753,De Vrouwehof, 6004 SL, Weert,https://waarneming.nl/observation/344435330/
"POINT (5.77182 50.94579)",50.94579,5.77182,Pastoor Biermansstraat, 6181 LC, Catsop,https://waarneming.nl/observation/344432623/
"POINT (5.95596 51.52835)",51.52835,5.95596,Biezenvenneke, 5801 HN, Venray,https://waarneming.nl/observation/344652729/
"POINT (5.99151 51.3263)",51.32630,5.99151,Korenbloem, 5988 MC, Helden,https://waarneming.nl/observation/344653289/
