WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.43077 51.96252)",51.96252,5.43077,Homoetsestraat, 4021 HG, Maurik,https://waarneming.nl/observation/336299181/
"POINT (6.34701 51.9317)",51.93170,6.34701,Korte Huitinkstraat, 7011 BC, Gaanderen,https://waarneming.nl/observation/337451043/
"POINT (5.16492 52.11869)",52.11869,5.16492,Groenekanseweg, 3737 AL, Groenekan,https://waarneming.nl/observation/336327329/
"POINT (5.7623 51.86819)",51.86819,5.76230,Van Heemstraweg, 6641 AC, Beuningen,https://waarneming.nl/observation/336664955/
"POINT (5.8755 51.98921)",51.98921,5.87550,Heijenoordseweg, 6813 GG, Arnhem,https://waarneming.nl/observation/336834096/
"POINT (5.40012 51.9164)",51.91640,5.40012,Jeudestraat, 4011 GM, Zoelen,https://waarneming.nl/observation/336979747/
"POINT (5.93013 51.98361)",51.98361,5.93013,Schavenmolenstraat, 6824 AB, Arnhem,https://waarneming.nl/observation/336947797/
"POINT (5.92288 51.81935)",51.81935,5.92288,Oude Kleefsebaan, 6572 AL, Berg en Dal,https://waarneming.nl/observation/337048349/
"POINT (5.75871 51.97949)",51.97949,5.75871,Aan de Beek, 6866 CV, Heelsum,https://waarneming.nl/observation/337975883/
"POINT (5.17621 52.03262)",52.03262,5.17621,Wernaarspad, 3994 XL, Houten,https://waarneming.nl/observation/338235277/
"POINT (5.83436 51.99579)",51.99579,5.83436,Graaf Ottolaan, 6861 BS, Oosterbeek,https://waarneming.nl/observation/338434164/
"POINT (5.92947 51.98393)",51.98393,5.92947,Schavenmolenstraat, 6824 AB, Arnhem,https://waarneming.nl/observation/338542080/
"POINT (6.6703 51.98476)",51.98476,6.67030,Korenburgerveenweg, 7102 GD, Winterswijk,https://waarneming.nl/observation/338755297/
"POINT (4.96159 51.95277)",51.95277,4.96159,De Tol, 4233 GH, Ameide,https://waarneming.nl/observation/338777778/
"POINT (4.9618 51.95257)",51.95257,4.96180,De Tol, 4233 GH, Ameide,https://waarneming.nl/observation/338784711/
"POINT (5.08424 52.11462)",52.11462,5.08424,Prins Bernhardlaan, 3554 JG, Utrecht,https://waarneming.nl/observation/338884432/
"POINT (5.16578 52.11815)",52.11815,5.16578,Hoogekampse Pad, 3737 AK, Groenekan,https://waarneming.nl/observation/338970133/
"POINT (5.90567 51.83258)",51.83258,5.90567,Jan Dommer van Poldersveldtweg, 6574 AV, Ubbergen,https://waarneming.nl/observation/339174982/
"POINT (5.42974 51.96267)",51.96267,5.42974,Saffatinstraat, 4021 HN, Maurik,https://waarneming.nl/observation/339132782/
"POINT (5.9296 51.98356)",51.98356,5.92960,Schavenmolenstraat, 6824 AA, Arnhem,https://waarneming.nl/observation/339235017/
"POINT (5.74517 51.77085)",51.77085,5.74517,Klokstraatje, 6612 AZ, Nederasselt,https://waarneming.nl/observation/339462027/
"POINT (5.89882 51.83737)",51.83737,5.89882,Ubbergse Holleweg, 6574 AS, Ubbergen,https://waarneming.nl/observation/339418306/
"POINT (5.87523 51.98395)",51.98395,5.87523,Utrechtseweg, 6812 AR, Arnhem,https://waarneming.nl/observation/340356404/
"POINT (4.65101 52.46597)",52.46597,4.65101,Polderweg, 1951 AH, Velsen-Noord,https://waarneming.nl/observation/342407737/
"POINT (5.0234 52.11071)",52.11071,5.02340,Alidahoeve, 3451 TK, Vleuten,https://waarneming.nl/observation/340665231/
"POINT (5.10832 52.12584)",52.12584,5.10832,Maniladreef, 3564 JE, Utrecht,https://waarneming.nl/observation/341815083/
"POINT (5.02438 52.11041)",52.11041,5.02438,Lindehoeve, 3451 TL, Vleuten,https://waarneming.nl/observation/341413074/
"POINT (5.33923 52.13425)",52.13425,5.33923,Utrechtseweg, 3818 ET, Amersfoort,https://waarneming.nl/observation/341690130/
"POINT (5.00817 52.16565)",52.16565,5.00817,Straatweg, 3621 BE, Breukelen,https://waarneming.nl/observation/346124625/
"POINT (5.82772 52.48207)",52.48207,5.82772,Stobbenweg, 8251 RG, Dronten,https://waarneming.nl/observation/342374479/
"POINT (5.06296 52.16975)",52.16975,5.06296,Griendweg, 3612 AS, Tienhoven,https://waarneming.nl/observation/343335117/
