WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.4669 51.41942)",51.41942,5.46690,Bayeuxlaan, 5654 BD, Eindhoven,https://waarneming.nl/observation/336229050/
"POINT (5.48526 51.45531)",51.45531,5.48526,John F. Kennedylaan, 5623 NR, Eindhoven,https://waarneming.nl/observation/336261218/
"POINT (4.39 51.35623)",51.35623,4.39000,Beatrixlaan, 4645 HD, Putte,https://waarneming.nl/observation/336325391/
"POINT (5.47432 51.48166)",51.48166,5.47432,Beverloweg, 5628 PV, Eindhoven,https://waarneming.nl/observation/336471310/
"POINT (4.7704 51.5665)",51.56650,4.77040,Grieglaan, 4837 CB, Breda,https://waarneming.nl/observation/336470361/
"POINT (5.03231 51.57974)",51.57974,5.03231,IJskruidlaan, 5044 DW, Tilburg,https://waarneming.nl/observation/336432923/
"POINT (4.44737 51.51957)",51.51957,4.44737,Bergrand, 4707 DZ, Roosendaal,https://waarneming.nl/observation/336522662/
"POINT (5.76859 51.41949)",51.41949,5.76859,Berken, 5724 AN, Ommel,https://waarneming.nl/observation/336547131/
"POINT (5.3294 51.60776)",51.60776,5.32940,Heult, 5283 NT, Boxtel,https://waarneming.nl/observation/336677628/
"POINT (5.36375 51.55407)",51.55407,5.36375,Rijksweg, 5298 LM, Liempde,https://waarneming.nl/observation/336712483/
"POINT (5.88463 51.71811)",51.71811,5.88463,Houtsnipwal, 5431 JS, Cuijk,https://waarneming.nl/observation/336716829/
"POINT (5.61139 51.66295)",51.66295,5.61139,Oude Kerkpad, 5401 ZT, Uden,https://waarneming.nl/observation/336982643/
"POINT (5.79628 51.46858)",51.46858,5.79628,Dunantweg, 5751 MG, Deurne,https://waarneming.nl/observation/336794571/
"POINT (5.47755 51.35157)",51.35157,5.47755,De Vlasakker, 5555 LG, Valkenswaard,https://waarneming.nl/observation/348480288/
"POINT (5.27438 51.6487)",51.64870,5.27438,Vijverbosweg, 5262 LP, Vught,https://waarneming.nl/observation/338237083/
"POINT (4.64179 51.58324)",51.58324,4.64179,Wouter Berthoutlaan, 4871 AJ, Etten-Leur,https://waarneming.nl/observation/337033996/
"POINT (4.63936 51.58332)",51.58332,4.63936,Aletta Jacobslaan, 4871 AX, Etten-Leur,https://waarneming.nl/observation/337034295/
"POINT (5.14144 51.5763)",51.57630,5.14144,Bosscheweg, 5056 KC, Berkel-Enschot,https://waarneming.nl/observation/336982376/
"POINT (5.71331 51.47256)",51.47256,5.71331,Jan Visserhof, 5709 EA, Helmond,https://waarneming.nl/observation/336994140/
"POINT (5.06353 51.56805)",51.56805,5.06353,Doctor Ahaushof, 5042 EM, Tilburg,https://waarneming.nl/observation/337283852/
"POINT (4.6408 51.58436)",51.58436,4.64080,Van Zuylenhof, 4871 HL, Etten-Leur,https://waarneming.nl/observation/337238657/
"POINT (5.04062 51.55569)",51.55569,5.04062,Dollard, 5032 ZE, Tilburg,https://waarneming.nl/observation/337301020/
"POINT (5.32613 51.71838)",51.71838,5.32613,De Diepte, 5233 BS, 's-Hertogenbosch,https://waarneming.nl/observation/337456779/
"POINT (5.36277 51.55739)",51.55739,5.36277,Dazingstraat, 5298 LP, Liempde,https://waarneming.nl/observation/337431484/
"POINT (5.10054 51.54259)",51.54259,5.10054,Leijparkweg, 5022 AB, Tilburg,https://waarneming.nl/observation/338453219/
"POINT (4.96058 51.48101)",51.48101,4.96058,Polanenstraat, 5131 CJ, Alphen,https://waarneming.nl/observation/337573724/
"POINT (4.62948 51.56047)",51.56047,4.62948,Banjostraat, 4876 XN, Etten-Leur,https://waarneming.nl/observation/337636793/
"POINT (4.87406 51.65493)",51.65493,4.87406,Kruidenlaan, 4907 AB, Oosterhout,https://waarneming.nl/observation/337645780/
"POINT (5.59833 51.43848)",51.43848,5.59833,Geldropseweg, 5731 AC, Mierlo,https://waarneming.nl/observation/337695672/
"POINT (4.83478 51.56919)",51.56919,4.83478,Lange Bunder, 4854 KW, Bavel,https://waarneming.nl/observation/337997697/
"POINT (4.79932 51.57152)",51.57152,4.79932,Croystraat, 4834 JK, Breda,https://waarneming.nl/observation/340275326/
"POINT (5.21031 51.69534)",51.69534,5.21031,Marktstaete, 5251 DA, Vlijmen,https://waarneming.nl/observation/337958521/
"POINT (4.95187 51.48431)",51.48431,4.95187,Speelveld, 5131 AW, Alphen,https://waarneming.nl/observation/337998091/
"POINT (5.29925 51.65308)",51.65308,5.29925,Park Reeburg, 5261 GC, Vught,https://waarneming.nl/observation/338425211/
"POINT (4.71571 51.61954)",51.61954,4.71571,Hooijdonkseweg, 4823 ZD, Breda,https://waarneming.nl/observation/338439337/
"POINT (5.36819 51.66953)",51.66953,5.36819,Kampseveld, 5275 CB, Den Dungen,https://waarneming.nl/observation/338180429/
"POINT (5.09329 51.60813)",51.60813,5.09329,Kalverstraat, 5011 XE, Tilburg,https://waarneming.nl/observation/338434107/
"POINT (4.88681 51.49753)",51.49753,4.88681,Alphensebaan, 4861 RA, Chaam,https://waarneming.nl/observation/338254427/
"POINT (5.48494 51.45585)",51.45585,5.48494,Hudsonlaan, 5623 NR, Eindhoven,https://waarneming.nl/observation/338347312/
"POINT (5.48003 51.42535)",51.42535,5.48003,Boutenslaan, 5615 CX, Eindhoven,https://waarneming.nl/observation/338444087/
"POINT (5.14325 51.4516)",51.45160,5.14325,Groenstraat, 5085 EE, Esbeek,https://waarneming.nl/observation/338461349/
"POINT (4.88654 51.70098)",51.70098,4.88654,Omschoorweg, 4941 TK, Raamsdonksveer,https://waarneming.nl/observation/338409105/
"POINT (5.18033 51.60594)",51.60594,5.18033,Heusdensebaan, 5074 NL, Biezenmortel,https://waarneming.nl/observation/338427727/
"POINT (5.04324 51.55177)",51.55177,5.04324,Wielingen, 5032 TM, Tilburg,https://waarneming.nl/observation/338432540/
"POINT (4.58099 51.56948)",51.56948,4.58099,Hermansstraat, 4741 TR, Hoeven,https://waarneming.nl/observation/338461612/
"POINT (5.07327 51.5825)",51.58250,5.07327,Massenetlaan, 5049 AD, Tilburg,https://waarneming.nl/observation/338419972/
"POINT (5.03843 51.54893)",51.54893,5.03843,Calfvense Bosloop, 5032 WB, Tilburg,https://waarneming.nl/observation/338424941/
"POINT (5.32563 51.71482)",51.71482,5.32563,Vijfde Haren, 5233 BL, 's-Hertogenbosch,https://waarneming.nl/observation/338440537/
"POINT (5.3536 51.64787)",51.64787,5.35360,Ruwenbergstraat, 5271 AG, Maaskantje,https://waarneming.nl/observation/338438013/
"POINT (5.06267 51.56827)",51.56827,5.06267,Reitse Hoevenstraat, 5042 EH, Tilburg,https://waarneming.nl/observation/338491146/
"POINT (5.37858 51.50658)",51.50658,5.37858,Ringweg, 5684 GW, Best,https://waarneming.nl/observation/338441530/
"POINT (5.64482 51.46417)",51.46417,5.64482,Kaukasus, 5706 PL, Helmond,https://waarneming.nl/observation/338441355/
"POINT (5.11549 51.69927)",51.69927,5.11549,Kapelstraat, 5154 AX, Elshout,https://waarneming.nl/observation/338446423/
"POINT (5.19707 51.71351)",51.71351,5.19707,Oude Haven, 5254 KB, Haarsteeg,https://waarneming.nl/observation/338489113/
"POINT (5.14647 51.58754)",51.58754,5.14647,Vlierlaan, 5056 XR, Berkel-Enschot,https://waarneming.nl/observation/338482804/
"POINT (4.34545 51.4165)",51.41650,4.34545,Groene Papegaai, 4631 RX, Hoogerheide,https://waarneming.nl/observation/338537136/
"POINT (5.01677 51.58237)",51.58237,5.01677,Buurmalsenlaan, 5043 XA, Tilburg,https://waarneming.nl/observation/338471946/
"POINT (5.35399 51.64757)",51.64757,5.35399,Sint Michielsstraat, 5271 AL, Maaskantje,https://waarneming.nl/observation/338471406/
"POINT (4.94282 51.6853)",51.68530,4.94282,Kanaalpad, 5165 TE, Waspik,https://waarneming.nl/observation/338470414/
"POINT (5.45389 51.42809)",51.42809,5.45389,Mendelssohnlaan, 5653 BC, Eindhoven,https://waarneming.nl/observation/338472568/
"POINT (5.08646 51.53269)",51.53269,5.08646,Hoge Wal, 5053 AS, Goirle,https://waarneming.nl/observation/338486747/
"POINT (4.46465 51.58472)",51.58472,4.46465,de Potterestraat, 4751 GX, Oud Gastel,https://waarneming.nl/observation/338495027/
"POINT (5.46062 51.45017)",51.45017,5.46062,Einsteinstraat, 5612 JT, Eindhoven,https://waarneming.nl/observation/338512550/
"POINT (5.6615 51.49099)",51.49099,5.66150,Vinkehof, 5702 NS, Helmond,https://waarneming.nl/observation/338502141/
"POINT (5.35362 51.64719)",51.64719,5.35362,Sint Michielsstraat, 5271 AL, Maaskantje,https://waarneming.nl/observation/339200582/
"POINT (5.03965 51.54818)",51.54818,5.03965,Rissebeek, 5032 WD, Tilburg,https://waarneming.nl/observation/338499157/
"POINT (5.10095 51.54282)",51.54282,5.10095,Leijparkweg, 5022 AB, Tilburg,https://waarneming.nl/observation/340590592/
"POINT (4.8784 51.66026)",51.66026,4.87840,Schildersplantsoen, 4907 RA, Oosterhout,https://waarneming.nl/observation/338543849/
