WKT,latitude,longitude,street,postalcode,city,description
"POINT (6.56731 52.99351)",52.99351,6.56731,Stationsstraat, 9401 KV, Assen,https://waarneming.nl/observation/340367145/
"POINT (6.52906 52.30038)",52.30038,6.52906,Lijsterbeslaan, 7461 VK, Rijssen,https://waarneming.nl/observation/346217668/
"POINT (6.91793 52.691)",52.69100,6.91793,Peelstraat, 7887 TL, Erica,https://waarneming.nl/observation/347187043/
"POINT (6.04116 52.61821)",52.61821,6.04116,Willem de Zwijgerlaan, 8281 CS, Genemuiden,https://waarneming.nl/observation/347582161/
"POINT (6.49511 52.23792)",52.23792,6.49511,Tolweg, 7475 BK, Markelo,https://waarneming.nl/observation/347699989/
"POINT (6.2018 52.85573)",52.85573,6.20180,Bosbouwkamp, 8381 AG, Vledder,https://waarneming.nl/observation/347953064/
"POINT (6.0567 52.5375)",52.53750,6.05670,Moeraszegge, 8043 LC, Zwolle,https://waarneming.nl/observation/348051125/
"POINT (6.80289 52.25489)",52.25489,6.80289,Spartalaan, 7552 SZ, Hengelo,https://waarneming.nl/observation/348658116/
"POINT (6.08688 53.10628)",53.10628,6.08688,Moleneind Noordzijde, 9203 ZT, Drachten,https://waarneming.nl/observation/349116947/
"POINT (6.85453 52.19623)",52.19623,6.85453,Halsterhoek, 7546 MG, Enschede,https://waarneming.nl/observation/349648658/
"POINT (6.76618 52.25703)",52.25703,6.76618,Berendinastraat, 7555 GB, Hengelo,https://waarneming.nl/observation/349627777/
"POINT (6.38031 53.17339)",53.17339,6.38031,Midwolderweg, 9351 PT, Leek,https://waarneming.nl/observation/350049117/
"POINT (6.75508 52.30818)",52.30818,6.75508,Boekweit, 7623 HC, Borne,https://waarneming.nl/observation/349857792/
"POINT (6.86061 52.22659)",52.22659,6.86061,Rigtersbleekstraat, 7521 GL, Enschede,https://waarneming.nl/observation/349756569/
"POINT (6.83503 52.25777)",52.25777,6.83503,Drienerschoolweg, 7552 PC, Hengelo,https://waarneming.nl/observation/349771831/
"POINT (6.44174 52.53311)",52.53311,6.44174,Kruidvlier, 7732 BP, Ommen,https://waarneming.nl/observation/349963684/
"POINT (6.17525 52.70299)",52.70299,6.17525,Grifeweg, 7942 JP, Meppel,https://waarneming.nl/observation/351229502/
