WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.0233 51.25107)",51.25107,4.02330,Pastoor Doensstraat, 4566 AM, Heikant,https://waarneming.nl/observation/336305057/
"POINT (4.1171 51.43211)",51.43211,4.11710,Doelstraat, 4413 BG, Krabbendijke,https://waarneming.nl/observation/336903402/
"POINT (3.51528 51.47675)",51.47675,3.51528,Strand Koudekerke, 4371 XZ, Koudekerke,https://waarneming.nl/observation/336261802/
"POINT (3.65657 51.55184)",51.55184,3.65657,Patrijzenlaan, 4351 RW, Zanddijk,https://waarneming.nl/observation/336446480/
"POINT (3.92034 51.49107)",51.49107,3.92034,Oostmolenweg, 4481 PK, Kloetinge,https://waarneming.nl/observation/336422269/
"POINT (3.62419 51.50164)",51.50164,3.62419,Dampoortstraat, 4332 AV, Middelburg,https://waarneming.nl/observation/336693107/
"POINT (3.52532 51.47161)",51.47161,3.52532,Verlengde Dishoekseweg, 4371 NV, Koudekerke,https://waarneming.nl/observation/336699241/
"POINT (3.74241 51.7085)",51.70850,3.74241,Vroonweg, 4328 ER, Burgh-Haamstede,https://waarneming.nl/observation/336750672/
"POINT (3.87537 51.28107)",51.28107,3.87537,Kruisweg, 4571 SH, Sluiskil,https://waarneming.nl/observation/336750973/
"POINT (3.73232 51.33544)",51.33544,3.73232,Braakmanweg, 4521 RD, Biervliet,https://waarneming.nl/observation/336867228/
"POINT (3.54774 51.45728)",51.45728,3.54774,Westduinpad, 4384 LT, Vlissingen,https://waarneming.nl/observation/337103624/
"POINT (3.54579 51.45738)",51.45738,3.54579,Westduinpad, 4384 LT, Vlissingen,https://waarneming.nl/observation/337109406/
"POINT (3.61303 51.58557)",51.58557,3.61303,Hesselbergshoofd, 4354 PB, Vrouwenpolder,https://waarneming.nl/observation/337323202/
"POINT (3.61403 51.58698)",51.58698,3.61403,Hopman de Rijklaan, 4354 NS, Vrouwenpolder,https://waarneming.nl/observation/368312851/
"POINT (3.87676 51.28074)",51.28074,3.87676,Graaf Jansdijk, 4571 SH, Axel,https://waarneming.nl/observation/337449288/
"POINT (3.5455 51.45813)",51.45813,3.54550,Burgemeester van Woelderenlaan, 4384 KK, Vlissingen,https://waarneming.nl/observation/337588356/
"POINT (3.65291 51.54834)",51.54834,3.65291,Ravelijn, 4351 TB, Zanddijk,https://waarneming.nl/observation/337628587/
"POINT (3.54755 51.45704)",51.45704,3.54755,Westduinpad, 4384 LT, Vlissingen,https://waarneming.nl/observation/337706509/
"POINT (3.83772 51.32823)",51.32823,3.83772,Zuidlandstraat, 4532 CG, Terneuzen,https://waarneming.nl/observation/337758061/
"POINT (3.73297 51.33706)",51.33706,3.73297,Braakmanweg, 4521 RD, Biervliet,https://waarneming.nl/observation/337999032/
"POINT (3.86199 51.50147)",51.50147,3.86199,Plein, 4472 AV, 's-Heer Hendrikskinderen,https://waarneming.nl/observation/338055680/
"POINT (3.56629 51.45552)",51.45552,3.56629,President Rooseveltlaan, 4383 BZ, Vlissingen,https://waarneming.nl/observation/338442029/
"POINT (3.51427 51.48633)",51.48633,3.51427,Vroonweg, 4373 RL, Biggekerke,https://waarneming.nl/observation/338572744/
"POINT (3.89337 51.50869)",51.50869,3.89337,Albert Joachimikade, 4461 BG, Goes,https://waarneming.nl/observation/338653607/
"POINT (3.65314 51.54774)",51.54774,3.65314,Ravelijn, 4351 TB, Zanddijk,https://waarneming.nl/observation/338741237/
"POINT (3.97626 51.34729)",51.34729,3.97626,Zuiddijk, 4585 PP, Hengstdijk,https://waarneming.nl/observation/338902381/
"POINT (4.22634 51.54014)",51.54014,4.22634,Nieuwe Postweg, 4691 SM, Tholen,https://waarneming.nl/observation/339746677/
"POINT (3.77066 51.73326)",51.73326,3.77066,Oude Moolweg, 4325 BZ, Renesse,https://waarneming.nl/observation/339627672/
"POINT (3.54872 51.45732)",51.45732,3.54872,Westduinpad, 4384 LT, Vlissingen,https://waarneming.nl/observation/339740584/
"POINT (4.22596 51.53958)",51.53958,4.22596,Nieuwe Postweg, 4691 SM, Tholen,https://waarneming.nl/observation/339742221/
"POINT (3.72374 51.32583)",51.32583,3.72374,Braakmanweg, 4521 PV, Biervliet,https://waarneming.nl/observation/340067405/
"POINT (4.2254 51.53986)",51.53986,4.22540,Nieuwe Postweg, 4691 SM, Tholen,https://waarneming.nl/observation/340118117/
"POINT (3.87625 51.27858)",51.27858,3.87625,Graaf Jansdijk, 4571 SG, Axel,https://waarneming.nl/observation/340203211/
"POINT (3.56489 51.45981)",51.45981,3.56489,Sloeweg, 4385 KL, Vlissingen,https://waarneming.nl/observation/340878704/
"POINT (3.50823 51.54499)",51.54499,3.50823,Prelaatweg, 4363 NE, Aagtekerke,https://waarneming.nl/observation/340945388/
"POINT (3.88213 51.29599)",51.29599,3.88213,Spui, 4571 SL, Axel,https://waarneming.nl/observation/341202421/
"POINT (3.47124 51.32505)",51.32505,3.47124,Noordelijke Brugsevaartdijkweg, 4501 NM, Oostburg,https://waarneming.nl/observation/341396740/
"POINT (3.50005 51.56465)",51.56465,3.50005,Park Loverendale, 4357 BZ, Domburg,https://waarneming.nl/observation/341408612/
"POINT (3.89265 51.50907)",51.50907,3.89265,Albert Joachimikade, 4461 BG, Goes,https://waarneming.nl/observation/341670580/
"POINT (3.88802 51.49675)",51.49675,3.88802,van Hertumweg, 4462 EV, Goes,https://waarneming.nl/observation/342793291/
"POINT (3.74469 51.33709)",51.33709,3.74469,Wevelswaaldijk, 4542 SN, Hoek,https://waarneming.nl/observation/343441702/
"POINT (4.03407 51.48975)",51.48975,4.03407,Breeweg, 4401 BN, Yerseke,https://waarneming.nl/observation/343883247/
"POINT (3.48622 51.32329)",51.32329,3.48622,Nieuwstraat, 4501 BE, Oostburg,https://waarneming.nl/observation/344034058/
"POINT (3.90114 51.23422)",51.23422,3.90114,Boekweitstraat, 4574 RH, Zuiddorpe,https://waarneming.nl/observation/344191628/
"POINT (3.48325 51.32739)",51.32739,3.48325,Zuidzandsestraat, 4501 AM, Oostburg,https://waarneming.nl/observation/344250114/
"POINT (3.87485 51.28208)",51.28208,3.87485,Tractaatweg, 4571 SH, Sluiskil,https://waarneming.nl/observation/344310270/
"POINT (3.82327 51.33526)",51.33526,3.82327,Klaassenstraat, 4531 AD, Terneuzen,https://waarneming.nl/observation/344354757/
"POINT (4.05738 51.26)",51.26000,4.05738,De Verrekijker, 4564 DA, Sint Jansteen,https://waarneming.nl/observation/344381496/
"POINT (3.54524 51.4569)",51.45690,3.54524,Westduinpad, 4384 LT, Vlissingen,https://waarneming.nl/observation/344386702/
"POINT (3.84114 51.32992)",51.32992,3.84114,Aagje Dekenstraat, 4532 CT, Terneuzen,https://waarneming.nl/observation/344981115/
"POINT (4.1788 51.41639)",51.41639,4.17880,Oostkilstraat, 4411 AA, Rilland,https://waarneming.nl/observation/344826056/
"POINT (4.047 51.28993)",51.28993,4.04700,Clausstraat, 4561 JC, Hulst,https://waarneming.nl/observation/344895075/
"POINT (4.0494 51.29409)",51.29409,4.04940,Kievitstraat, 4561 KK, Hulst,https://waarneming.nl/observation/344896223/
"POINT (3.88149 51.50398)",51.50398,3.88149,Bankertstraat, 4461 XL, Goes,https://waarneming.nl/observation/344893449/
"POINT (4.18468 51.41711)",51.41711,4.18468,Swaanhilstraat, 4411 BL, Rilland,https://waarneming.nl/observation/345001312/
"POINT (3.85349 51.33198)",51.33198,3.85349,Swammerdamstraat, 4532 KT, Terneuzen,https://waarneming.nl/observation/345180389/
"POINT (3.92262 51.26606)",51.26606,3.92262,Sint Maartenlaan, 4571 CT, Axel,https://waarneming.nl/observation/345151243/
"POINT (3.85446 51.24966)",51.24966,3.85446,Graafjansdijk B, 4554 LG, Westdorpe,https://waarneming.nl/observation/345213549/
"POINT (4.03299 51.2506)",51.25060,4.03299,Vlasstraat, 4566 BC, Heikant,https://waarneming.nl/observation/345352126/
"POINT (3.60591 51.50949)",51.50949,3.60591,Noordweg, 4333 GD, Middelburg,https://waarneming.nl/observation/345281383/
"POINT (3.38607 51.34643)",51.34643,3.38607,Prins Mauritsstraat, 4525 AJ, Retranchement,https://waarneming.nl/observation/345553741/
"POINT (4.01838 51.37431)",51.37431,4.01838,Trompstraat, 4587 ER, Kloosterzande,https://waarneming.nl/observation/345695980/
"POINT (4.06164 51.26094)",51.26094,4.06164,Roskamstraat, 4564 EK, Sint Jansteen,https://waarneming.nl/observation/345643424/
"POINT (3.86312 51.33455)",51.33455,3.86312,Robijnboog, 4533 BA, Terneuzen,https://waarneming.nl/observation/345843071/
"POINT (3.62447 51.48992)",51.48992,3.62447,Papisland, 4337 CZ, Middelburg,https://waarneming.nl/observation/345907401/
"POINT (3.9069 51.26314)",51.26314,3.90690,Zuidsingel, 4571 HP, Axel,https://waarneming.nl/observation/345917121/
"POINT (3.39101 51.30752)",51.30752,3.39101,Pater Brugmanstraat, 4524 AW, Sluis,https://waarneming.nl/observation/345918310/
"POINT (4.16394 51.61708)",51.61708,4.16394,Schoolstraat, 4675 BL, Sint Philipsland,https://waarneming.nl/observation/345945714/
"POINT (4.15999 51.55033)",51.55033,4.15999,Kadijk, 4691 PL, Poortvliet,https://waarneming.nl/observation/346045585/
"POINT (3.91259 51.30712)",51.30712,3.91259,Axelsestraat, 4543 CG, Zaamslag,https://waarneming.nl/observation/346099795/
"POINT (3.90298 51.49489)",51.49489,3.90298,Joannaplantsoen, 4462 AV, Goes,https://waarneming.nl/observation/345991550/
"POINT (3.84863 51.73727)",51.73727,3.84863,De Achthoek, 4322 DA, Scharendijke,https://waarneming.nl/observation/346010549/
"POINT (3.60161 51.52699)",51.52699,3.60161,Burgemeester Baaslaan, 4333 LJ, Sint Laurens,https://waarneming.nl/observation/346028857/
"POINT (4.02221 51.47073)",51.47073,4.02221,Kamperweg, 4417 PC, Hansweert,https://waarneming.nl/observation/346122097/
"POINT (3.50797 51.51522)",51.51522,3.50797,Boogerdswegeling, 4365 BE, Meliskerke,https://waarneming.nl/observation/346238297/
"POINT (3.83446 51.23244)",51.23244,3.83446,Schuttersweide, 4554 CX, Westdorpe,https://waarneming.nl/observation/346214011/
"POINT (4.03665 51.25276)",51.25276,4.03665,Vlasstraat, 4566 BC, Heikant,https://waarneming.nl/observation/346204797/
"POINT (3.91791 51.49686)",51.49686,3.91791,Schimmelpenninckstraat, 4481 AJ, Kloetinge,https://waarneming.nl/observation/347255481/
"POINT (3.9662 51.48796)",51.48796,3.96620,Vroonlandseweg, 4421 GK, Biezelinge,https://waarneming.nl/observation/346324836/
"POINT (4.05216 51.283)",51.28300,4.05216,Walmolenstraat, 4561 BE, Hulst,https://waarneming.nl/observation/346348019/
"POINT (3.59398 51.49532)",51.49532,3.59398,Voorborch, 4335 AW, Middelburg,https://waarneming.nl/observation/349346055/
"POINT (3.60377 51.46084)",51.46084,3.60377,De Deckerestraat, 4388 HV, Oost-Souburg,https://waarneming.nl/observation/349345907/
"POINT (4.11452 51.42599)",51.42599,4.11452,Oude Rijksweg, 4413 NK, Krabbendijke,https://waarneming.nl/observation/349345666/
"POINT (3.59092 51.46803)",51.46803,3.59092,Tuinstraat, 4386 BB, Vlissingen,https://waarneming.nl/observation/349345150/
"POINT (4.10271 51.4352)",51.43520,4.10271,Rosierlaan, 4413 HC, Krabbendijke,https://waarneming.nl/observation/346489262/
"POINT (4.05137 51.29336)",51.29336,4.05137,Leeuwerikstraat, 4561 KM, Hulst,https://waarneming.nl/observation/346396380/
"POINT (3.79828 51.70041)",51.70041,3.79828,Serooskerkseweg, 4327 SE, Serooskerke,https://waarneming.nl/observation/347869477/
"POINT (3.55586 51.3928)",51.39280,3.55586,Dokter Broodmanstraat, 4511 EP, Breskens,https://waarneming.nl/observation/346529421/
"POINT (3.88966 51.21307)",51.21307,3.88966,Zuiddorpseweg, 4575 NK, Overslag,https://waarneming.nl/observation/346544192/
"POINT (3.49624 51.32985)",51.32985,3.49624,Bredestraat, 4501 EB, Oostburg,https://waarneming.nl/observation/346522850/
"POINT (4.06894 51.56933)",51.56933,4.06894,Koekoeksweg, 4695 RP, Sint-Maartensdijk,https://waarneming.nl/observation/346567907/
"POINT (4.04441 51.28449)",51.28449,4.04441,Saxhavenstraat, 4561 HB, Hulst,https://waarneming.nl/observation/346753638/
"POINT (4.05254 51.25832)",51.25832,4.05254,Heerstraat, 4564 EC, Sint Jansteen,https://waarneming.nl/observation/346752986/
"POINT (3.6452 51.34033)",51.34033,3.64520,Nieuwlandseweg, 4522 GX, Biervliet,https://waarneming.nl/observation/346756710/
"POINT (3.46259 51.2462)",51.24620,3.46259,Biezenstraat, 4529 JK, Eede,https://waarneming.nl/observation/347045840/
"POINT (3.90779 51.48986)",51.48986,3.90779,Simon Vestdijklaan, 4481 DM, Kloetinge,https://waarneming.nl/observation/346949894/
"POINT (3.91267 51.7239)",51.72390,3.91267,Zuiddijkstraat, 4318 BE, Brouwershaven,https://waarneming.nl/observation/346717063/
"POINT (3.45705 51.38719)",51.38719,3.45705,Baanstpoldersedijk, 4504 RR, Nieuwvliet,https://waarneming.nl/observation/346794215/
"POINT (3.85767 51.30798)",51.30798,3.85767,Everingen, 4535 JC, Terneuzen,https://waarneming.nl/observation/346870285/
"POINT (3.57806 51.45426)",51.45426,3.57806,Tooroplaan, 4382 VR, Vlissingen,https://waarneming.nl/observation/347253227/
"POINT (4.21816 51.53876)",51.53876,4.21816,Jan van Beaumontstraat, 4691 JB, Tholen,https://waarneming.nl/observation/346810981/
"POINT (3.91351 51.31065)",51.31065,3.91351,Brouwerijstraat, 4543 CX, Zaamslag,https://waarneming.nl/observation/346812354/
"POINT (3.91635 51.26603)",51.26603,3.91635,Polenstraat, 4571 BZ, Axel,https://waarneming.nl/observation/346942499/
"POINT (3.61493 51.5715)",51.57150,3.61493,Schoolstraat, 4354 AK, Vrouwenpolder,https://waarneming.nl/observation/346991539/
"POINT (3.86391 51.50375)",51.50375,3.86391,Humphreyshof, 4472 BN, 's-Heer Hendrikskinderen,https://waarneming.nl/observation/347264963/
"POINT (3.79579 51.22947)",51.22947,3.79579,Glacisstraat, 4551 AM, Sas van Gent,https://waarneming.nl/observation/347219433/
"POINT (3.60882 51.50487)",51.50487,3.60882,Seislaan, 4333 GX, Middelburg,https://waarneming.nl/observation/347099664/
