WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.24359 51.90084)",51.90084,4.24359,van Ostadelaan, 3181 HS, Rozenburg,https://waarneming.nl/observation/336233609/
"POINT (4.43923 51.9413)",51.94130,4.43923,Zestienhovensekade, 3043 KT, Rotterdam,https://waarneming.nl/observation/336709219/
"POINT (4.51279 51.87779)",51.87779,4.51279,Cartesiusstraat, 3076 DD, Rotterdam,https://waarneming.nl/observation/337504063/
"POINT (4.78799 51.81779)",51.81779,4.78799,Rembrandtlaan, 3362 AW, Sliedrecht,https://waarneming.nl/observation/337530879/
"POINT (4.22146 51.87914)",51.87914,4.22146,Henry Fordstraat, 3238 BE, Zwartewaal,https://waarneming.nl/observation/337685830/
"POINT (4.71169 52.03336)",52.03336,4.71169,Plaswijckweg, 2804 LS, Gouda,https://waarneming.nl/observation/337664531/
"POINT (4.56093 51.73644)",51.73644,4.56093,Schenkeldijk, 3291 EP, Strijen,https://waarneming.nl/observation/338427367/
"POINT (4.6139 51.74617)",51.74617,4.61390,Schenkeldijk, 3295 EJ, 's-Gravendeel,https://waarneming.nl/observation/338033149/
"POINT (4.76604 51.82686)",51.82686,4.76604,Kilstraat, 3363 CD, Sliedrecht,https://waarneming.nl/observation/338683904/
"POINT (3.88837 51.7854)",51.78540,3.88837,De Eco Punt, 3253 ML, Ouddorp,https://waarneming.nl/observation/339981105/
"POINT (3.88852 51.78571)",51.78571,3.88852,De Eco Punt, 3253 ML, Ouddorp,https://waarneming.nl/observation/340130953/
"POINT (4.6082 51.92271)",51.92271,4.60820,Olympiade, 2924 AN, Krimpen aan den IJssel,https://waarneming.nl/observation/341485432/
"POINT (4.57239 51.81467)",51.81467,4.57239,Borgmanpad, 3297 LH, Zwijndrecht,https://waarneming.nl/observation/341317633/
"POINT (4.58223 52.30176)",52.30176,4.58223,Burgemeester Wentholtstraat, 2182 GX, Hillegom,https://waarneming.nl/observation/342953602/
"POINT (4.57515 51.81547)",51.81547,4.57515,Lindtsedijk, 2995 XL, Heerjansdam,https://waarneming.nl/observation/342923045/
"POINT (4.54174 51.87647)",51.87647,4.54174,Hordijk, 3079 DE, Rotterdam,https://waarneming.nl/observation/343024333/
"POINT (4.53956 51.70434)",51.70434,4.53956,Buitendijk, 4782 SZ, Strijensas,https://waarneming.nl/observation/343133790/
"POINT (4.66574 52.07494)",52.07494,4.66574,Populierenhof, 2771 DM, Boskoop,https://waarneming.nl/observation/343402430/
"POINT (4.41753 51.81976)",51.81976,4.41753,Margrietstraat, 3261 AN, Oud-Beijerland,https://waarneming.nl/observation/343595215/
"POINT (4.96016 51.84495)",51.84495,4.96016,Klaproos, 4205 MA, Gorinchem,https://waarneming.nl/observation/343728871/
"POINT (4.68024 52.15144)",52.15144,4.68024,Elzekrulzoom, 2403 SK, Alphen aan den Rijn,https://waarneming.nl/observation/343763197/
"POINT (4.53339 51.91592)",51.91592,4.53339,K.P. van der Mandelelaan, 3062 MA, Rotterdam,https://waarneming.nl/observation/344079867/
"POINT (4.34511 51.68047)",51.68047,4.34511,'t Meulentje, 3257 BJ, Ooltgensplaat,https://waarneming.nl/observation/343995295/
"POINT (4.0782 51.90852)",51.90852,4.07820,F H G van Itersonlaan, 3233 EL, Oostvoorne,https://waarneming.nl/observation/344723354/
"POINT (4.30983 52.02179)",52.02179,4.30983,Van der Kooijweg, 2286 MB, Rijswijk,https://waarneming.nl/observation/344381715/
"POINT (4.62523 51.87126)",51.87126,4.62523,Gorzenweg, 2984 BN, Ridderkerk,https://waarneming.nl/observation/377801355/
"POINT (4.46732 51.93365)",51.93365,4.46732,Troelstrastraat, 3038 KV, Rotterdam,https://waarneming.nl/observation/344836754/
"POINT (4.61619 51.86004)",51.86004,4.61619,Pelikaan, 2986 TE, Ridderkerk,https://waarneming.nl/observation/344945940/
